"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BLG194605051","blacj103","BLG","2","lower","","","","","","0","0","","","3","","3","0","0","0","","","","","","","","","19460505","1","BAL14","HOM","L","regular",""
"BLG194605051","blacj103","BLG","2","upper","","","","","","0","0","","","3","","3","0","0","0","","","","","","","","","19460505","1","BAL14","HOM","L","regular",""
"HOM194605100","blacj103","BLG","1","value","6","","12","6","","0","1","3","","0","","2","0","0","0","0","","","","","1","","","19460510","0","ALT02","HOM","L","regular","y"
"HOM194605100","blacj103","BLG","1","lower","","","","","","0","","","","0","","2","0","0","0","","","","","","","","","19460510","0","ALT02","HOM","L","regular","y"
"HOM194605100","blacj103","BLG","1","upper","","","","","","0","","","","0","","2","0","0","0","","","","","","","","","19460510","0","ALT02","HOM","L","regular","y"
"NW2194605192","blacj103","BLG","2","value","","","","","","","","","","","","","","","","","","","","","","","","19460519","2","NWK04","NW2","W","regular",""
"NW2194605192","blacj103","BLG","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19460519","2","NWK04","NW2","W","regular",""
"NW2194605192","blacj103","BLG","2","upper","","","","","","","","","","","","","","","","","","1","","","","","","19460519","2","NWK04","NW2","W","regular",""
"BLG194605260","blacj103","BLG","2","value","3","","4","1","","0","0","0","","1","","0","0","0","0","","","","","","","1","","19460526","0","BAL14","NY6","L","regular","y"
"BLG194605260","blacj103","BLG","2","lower","3","","","1","","0","0","","","","","0","0","0","0","","","","","","","","","19460526","0","BAL14","NY6","L","regular","y"
"BLG194605260","blacj103","BLG","2","upper","3","","","1","","0","0","","","","","0","0","0","0","","","","","","","","","19460526","0","BAL14","NY6","L","regular","y"
"BLG194605302","blacj103","BLG","2","value","6","","13","4","0","","0","5","","3","","","0","0","0","","","","","","","","","19460530","2","BAL14","HOM","L","regular","y"
"BLG194605302","blacj103","BLG","2","lower","","","","","0","","0","","","","","","0","0","0","","","","","","","","","19460530","2","BAL14","HOM","L","regular","y"
"BLG194605302","blacj103","BLG","2","upper","","","","","0","","0","","","","","","0","0","0","","","","","","","","","19460530","2","BAL14","HOM","L","regular","y"
"BLG194606072","blacj103","BLG","1","value","21","","29","6","0","0","0","3","","2","","10","0","0","0","","","","","","1","","","19460607","2","BAL14","NW2","L","regular","y"
"BLG194606072","blacj103","BLG","1","lower","","","","","0","0","0","","","","","10","0","0","0","","","","","","","","","19460607","2","BAL14","NW2","L","regular","y"
"BLG194606072","blacj103","BLG","1","upper","","","","","0","0","0","","","","","10","0","0","0","","","","","","","","","19460607","2","BAL14","NW2","L","regular","y"
"BLG194606092","blacj103","BLG","3","value","9","","13","5","0","0","0","3","","0","","","0","0","0","","","","1","","","1","","19460609","2","BAL14","PH5","L","regular","y"
"BLG194606092","blacj103","BLG","3","lower","9","","","","0","0","0","3","","0","","","0","0","0","","","","","","","","","19460609","2","BAL14","PH5","L","regular","y"
"BLG194606092","blacj103","BLG","3","upper","9","","","","0","0","0","3","","0","","","0","0","0","","","","","","","","","19460609","2","BAL14","PH5","L","regular","y"
