"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"MEM194804251","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480425","1","MEM02","MEM","W","exhibition",""
"BIR194805010","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480501","0","BIR01","CVB","W","regular",""
"BIR194805010","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480501","0","BIR01","CVB","W","regular",""
"BIR194805010","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480501","0","BIR01","CVB","W","regular",""
"BIR194805050","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480505","0","AXC01","CVB","W","regular",""
"BIR194805050","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480505","0","AXC01","CVB","W","regular",""
"BIR194805050","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480505","0","AXC01","CVB","W","regular",""
"CVB194805110","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480511","0","DAY03","CVB","L","regular",""
"CVB194805110","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480511","0","DAY03","CVB","L","regular",""
"CVB194805110","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480511","0","DAY03","CVB","L","regular",""
"BIR194805161","poweb103","BIR","9","1","value","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480516","1","BIR01","IN9","W","regular","y"
"BIR194805161","poweb103","BIR","9","1","lower","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480516","1","BIR01","IN9","W","regular","y"
"BIR194805161","poweb103","BIR","9","1","upper","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480516","1","BIR01","IN9","W","regular","y"
"IN9194805200","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480520","0","IND10","IN9","W","regular",""
"IN9194805200","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480520","0","IND10","IN9","W","regular",""
"IN9194805200","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480520","0","IND10","IN9","W","regular",""
"BIR194805240","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480524","0","NSH02","CAG","W","regular",""
"BIR194805240","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480524","0","NSH02","CAG","W","regular",""
"BIR194805240","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480524","0","NSH02","CAG","W","regular",""
"BIR194805310","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480531","0","FTW01","MEM","L","regular",""
"BIR194805310","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480531","0","FTW01","MEM","L","regular",""
"BIR194805310","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480531","0","FTW01","MEM","L","regular",""
"BIR194806050","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480605","0","BIR01","KCM","W","regular",""
"BIR194806050","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480605","0","BIR01","KCM","W","regular",""
"BIR194806050","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480605","0","BIR01","KCM","W","regular",""
"BIR194806070","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480607","0","MEM02","KCM","W","regular",""
"BIR194806070","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480607","0","MEM02","KCM","W","regular",""
"BIR194806070","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480607","0","MEM02","KCM","W","regular",""
"CAG194806131","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480613","1","CHI10","CAG","L","regular",""
"CAG194806131","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480613","1","CHI10","CAG","L","regular",""
"CAG194806131","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480613","1","CHI10","CAG","L","regular",""
"BIR194806200","poweb103","BIR","9","1","value","2","0","1","0","0","0","1","0","","0","0","","","0","","","","","","","19480620","0","BIR01","CAG","W","regular","y"
"BIR194806200","poweb103","BIR","9","1","lower","2","0","1","0","0","0","1","0","","0","","","","0","","","","","","","19480620","0","BIR01","CAG","W","regular","y"
"BIR194806200","poweb103","BIR","9","1","upper","2","0","1","0","0","0","1","0","","0","","","","0","","","","","","","19480620","0","BIR01","CAG","W","regular","y"
"BIR194806272","poweb103","BIR","9","1","value","3","1","2","0","0","0","0","0","","0","0","","","0","","","","","","","19480627","2","BIR01","IN9","W","regular","y"
"BIR194806272","poweb103","BIR","9","1","lower","3","1","2","0","0","0","0","0","","0","","","","0","","","","","","","19480627","2","BIR01","IN9","W","regular","y"
"BIR194806272","poweb103","BIR","9","1","upper","3","1","2","0","0","0","0","0","","0","","","","0","","","","","","","19480627","2","BIR01","IN9","W","regular","y"
"BIR194807042","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480704","2","BIR01","MEM","W","regular",""
"BIR194807042","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480704","2","BIR01","MEM","W","regular",""
"BIR194807042","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480704","2","BIR01","MEM","W","regular",""
"CVB194807190","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480719","0","DAY03","CVB","L","regular",""
"CVB194807190","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480719","0","DAY03","CVB","L","regular",""
"CVB194807190","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480719","0","DAY03","CVB","L","regular",""
"BIR194807260","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480726","0","TUS01","NW2","L","exhibition",""
"BIR194807260","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480726","0","TUS01","NW2","L","exhibition",""
"BIR194807260","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19480726","0","TUS01","NW2","L","exhibition",""
"KCM194808011","poweb103","BIR","9","1","value","1","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19480801","1","KAN05","KCM","L","regular","y"
"KCM194808011","poweb103","BIR","9","1","lower","1","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19480801","1","KAN05","KCM","L","regular","y"
"KCM194808011","poweb103","BIR","9","1","upper","1","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19480801","1","KAN05","KCM","L","regular","y"
"BIR194808082","poweb103","BIR","9","1","value","3","2","2","","","","1","","","","0","0","","","","","","","","","19480808","2","BIR01","CVB","W","regular","y"
"BIR194808082","poweb103","BIR","9","1","lower","3","2","2","","","","1","","","","","","","","","","","","","","19480808","2","BIR01","CVB","W","regular","y"
"BIR194808082","poweb103","BIR","9","1","upper","3","2","2","","","","1","","","","","","","","","","","","","","19480808","2","BIR01","CVB","W","regular","y"
"BIR194808150","poweb103","BIR","9","1","value","2","2","0","0","0","0","","1","","0","1","","","0","","","","","","","19480815","0","BIR01","NY6","W","exhibition","y"
"BIR194808150","poweb103","BIR","9","1","lower","2","2","0","","","","","1","","","","","","","","","","","","","19480815","0","BIR01","NY6","W","exhibition","y"
"BIR194808150","poweb103","BIR","9","1","upper","2","2","0","","","","","1","","","","","","","","","","","","","19480815","0","BIR01","NY6","W","exhibition","y"
"BIR194808180","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480818","0","CHT01","NY6","L","exhibition",""
