"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PH5194006011","harrc104","PH5","8","1","value","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006011","harrc104","PH5","8","1","lower","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006011","harrc104","PH5","8","1","upper","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006012","harrc104","PH5","6","1","value","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400601","2","PHI17","HOM","L","regular","y"
"PH5194006012","harrc104","PH5","6","1","lower","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400601","2","PHI17","HOM","L","regular","y"
"PH5194006012","harrc104","PH5","6","1","upper","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400601","2","PHI17","HOM","L","regular","y"
"NW2194006021","harrc104","PH5","6","1","value","1","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19400602","1","ALB02","NW2","L","regular","y"
"NW2194006021","harrc104","PH5","6","1","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400602","1","ALB02","NW2","L","regular","y"
"NW2194006021","harrc104","PH5","6","1","upper","1","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19400602","1","ALB02","NW2","L","regular","y"
"PH5194006060","harrc104","PH5","7","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400606","0","PHI17","HOM","L","regular","y"
"PH5194006060","harrc104","PH5","7","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400606","0","PHI17","HOM","L","regular","y"
"PH5194006060","harrc104","PH5","7","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400606","0","PHI17","HOM","L","regular","y"
"PH5194006091","harrc104","PH5","7","1","value","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400609","1","HRB01","NY6","W","regular","y"
