"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PH5194208200","MEM","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","7","","","","","","","","","","","","","","","","24","","","","","","","14","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","","","","","","","","19420820","0","PHI17","PH5","L","exhibition","","1942"
"PH5194208200","MEM","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","7","","","","","","","","","","","","","","","","24","","","","","","","14","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","","","","","","","","19420820","0","PHI17","PH5","L","exhibition","","1942"
"CCB194208220","MEM","0","0","3","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","4","9","","1","","","","","","","","","","","","","18","","","9","","","1","10","","","","","","","","","","18","","2","","0","","","","","","","","","","","evanf101","hattr101","","","","","","","","","19420822","0","DAY03","CCB","L","regular","","1942"
"CCB194208220","MEM","0","0","3","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","lower","","4","9","","1","","","","","","","","","","","","","18","","","9","","","1","10","","","","","","","","","","18","","2","","0","","","","","","","","","","","evanf101","hattr101","","","","","","","","","19420822","0","DAY03","CCB","L","regular","","1942"
"CCB194208220","MEM","0","0","3","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","upper","","4","9","","1","","","","","","","","","","","","","18","","","9","","","1","10","","","","","","","","","","18","","2","","0","","","","","","","","","","","evanf101","hattr101","","","","","","","","","19420822","0","DAY03","CCB","L","regular","","1942"
"MEM194208240","MEM","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","value","","4","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420824","0","MEM02","CCB","L","regular","","1942"
"MEM194208240","MEM","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","lower","","4","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420824","0","MEM02","CCB","L","regular","","1942"
"MEM194208240","MEM","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","upper","","4","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420824","0","MEM02","CCB","L","regular","","1942"
"MEM194208250","MEM","0","2","7","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","9","11","","","","","","","","","","","","","","","27","","","7","","","","3","","","","","","","","","","27","","1","","0","","","","","","","","","","","mathv101","browl107","","","","","","","","","19420825","0","NOL01","CCB","W","regular","","1942"
"MEM194208250","MEM","0","2","7","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","lower","","9","11","","","","","","","","","","","","","","","27","","","7","","","","3","","","","","","","","","","27","","1","","0","","","","","","","","","","","mathv101","browl107","","","","","","","","","19420825","0","NOL01","CCB","W","regular","","1942"
"MEM194208250","MEM","0","2","7","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","upper","","9","11","","","","","","","","","","","","","","","27","","","7","","","","3","","","","","","","","","","27","","1","","0","","","","","","","","","","","mathv101","browl107","","","","","","","","","19420825","0","NOL01","CCB","W","regular","","1942"
"MEM194208280","MEM","0","0","0","0","0","0","1","2","0","","","","","","","","","","","","","","","","","","","","","value","","3","5","","","","","","","","","","","","","","","27","","","9","","","","7","","","","","","","","","","27","","4","","0","","","","","","","","","","","evanf101","hattr101","","","","","","","","","19420828","0","MEM02","CCB","L","regular","","1942"
