id1,relation,id2
mazeb101,Uncle,roe-c001
mcanj101,Father,mcanj001
mccaj002,Brother,mccaj003
mccrr001,Father,mccrg001
mccul001,Father,mccul002
mcdal101,Brother,mcdav101
mcdod001,Brother,mcdod002
mcfaa101,Brother,mcfad101
mcfac102,Brother,mcfam101
mcfah901,Brother,mcfaa101
mcfah901,Brother,mcfad101
mcgec101,Brother,mcged101
mcgrf001,Cousin,johnc002
mcgrf001,Cousin,mcgrt002
mcgrt002,Uncle,johnc002
mckad101,Father,mckac001
mcket101,Great Uncle,mckej803
mcknj101,Father,mcknj001
mclab103,Brother,mclaf101
mcnir901,Father,mcnie101
mcrah001,Father,mcrab001
meada001,Brother,meadp001
megit001,Brother,megit002
meinf101,Father,meinb101
meltc101,Cousin,meltr101
mercj001,Uncle,valvj001
merul101,Grandfather,merum001
meusi101,Brother,meusb101
meyej101,Uncle,meyeb001
milah101,Brother,milac101
millb110,Brother,millr102
millj109,Brother,millr113
millw101,Father,milla101
milne001,Cousin,milnj101
minor001,Brother,minod001
mitca101,Brother,mitca102
mitcc001,Brother,mitcj001
mitcg101,Brother,mitcr103
mitck001,Cousin,mitck002
mitcr001,Cousin,willa004
moelc001,Cousin,cronc002
moffj101,Brother,moffs101
molib001,Brother,molij001
molib001,Brother,moliy001
molig101,Brother,molit101
molij001,Brother,moliy001
mondr002,Father,mondr003
moned101,Grandfather,kennb002
monte101,Father,monte901
montr101,Father,monta103
moorg103,Father,moorg104
morac001,Brother,morab001
morig101,Brother,morib101
morrj103,Brother,morrt101
morrj105,Brother,morrp101
mortg101,Father,mortm101
motaa001,Brother,motaj001
motam101,Father,motaa001
motam101,Father,motaj001
muelw102,Father,mueld101
murfr101,Uncle,davir001
murpp801,Father-in-Law,alvap001
murre001,Brother,murrr101
myerb103,Great Uncle,myrib101
myerl101,Brother,myerb101
narlb101,Father,narlr101
narrj001,Brother,narrj801
narrj001,Cousin,chacg001
narrs101,Grandfather,narrs001
narrs101,Uncle,narrj001
narrs101,Uncle,narrj801
narvc002,Cousin,narvo001
navaj101,Father,navaj001
naylb001,Brother,naylj001
nen-d101,Father,nen-r001
nettg001,Brother,nettj101
nevip001,Father,nevit001
newkf101,Brother,newkj101
nichc001,Uncle,lankr001
nichc101,Father,nichc102
niekj001,Brother,niekp001
niekj001,Father,niekl001
niekp001,Uncle,niekl001
nievj001,Brother,nievj002
nievm001,Brother,nievw001
nix-l001,Brother,nix-j001
nixoo001,Brother,nixod001
nolaa002,Brother,nolaa001
nordw101,Uncle,millk005
normb102,Brother,normj101
nortr101,Father,norts101
nymac101,Brother,nyman101
obrie101,Brother,obrij101
obrie101,Great Uncle,obrir001
obrij101,Grandfather,obrir001
odonj101,Father,odonj001
odorr801,Uncle,odorr001
ogdej101,Brother,ogdec101
ogrob101,Brother,ogroj101
okrif101,Father,okril101
olerj001,Cousin,sveud001
olivb101,Father,olivd001
olivc101,Uncle,rondg101
olivd101,Brother,olivc101
olivd101,Father,rondg101
olive101,Father,olivo001
oneij102,Brother,oneim101
oneij102,Brother,oneis101
oneij104,Brother,oneij102
oneij104,Brother,oneim101
oneij104,Brother,oneis101
oneim101,Brother,oneis101
onsle101,Brother,onslj101
orouj102,Uncle,orouq101
orouj103,Brother,orouj102
orouj103,Father,orouq101
oroup101,Father,orouj101
